Review,Hasil Perbandingan
"['tempatnya', 'enak', 'nongkrong', 'tementemen', 'ngga', 'kalab', 'serunya', 'lagu', 'nongkrongnya', 'ditemenin', 'secangkir', 'kopi', 'roti', 'hmm', 'nyam', 'nyam', 'perfecto']",Positive
"['makanannya', 'enak', 'murah', 'bingung', 'parkir', 'mobil', 'dimana']",Negative
"['cocok', 'pengen', 'nongki']",Positive
"['kopdar', 'nmax', 'rider', 'bandung']",Neutral
"['ngobrol', 'ngopi', 'cocok']",Neutral
"['enak', 'lezat', 'nikmat', 'nongkrong']",Positive
"['gabungan', 'lokal', 'bagus']",Positive
['direkomendasikan'],Positive
"['tempatnya', 'luas', 'bernuansa', 'alam', 'spot', 'berfoto', 'area', 'bermain', 'kelinci', 'berfoto', 'binatang', 'kuda', 'tunggangandll', 'areanya', 'luas', 'medan', 'turun', 'cocok', 'berusia', 'cocok']",Positive
"['kali', 'lsng', '', 'wahana', 'floating', 'market', 'kota', 'mini', 'kota', 'mini', 'lumayan', 'seru', 'anak', 'anak', 'bermain', 'permainan', 'mesti', 'beli', 'tiket', 'serunya', 'perahu', 'bebek', 'coba', 'jajanan', 'dijual']",Positive
"['pengalamanku', 'wahana', 'mengharuskan', 'bayar', 'masuk', 'harganya', '', 'sd', 'k', 'wahana', 'ga', 'puas', 'main', 'menikmati', 'wahana']",Neutral
"['wisata', 'baguss', 'skrg', 'jd', 'luas', 'makanannya', 'murah', 'jenis', 'makanan', 'sm', 'minumannya', 'tinggal', 'pilih', 'jajan', 'sistemnya', 'beli', 'koin', 'kl', 'jajan', 'makanminum', 'jd', 'keinget', 'papaku']",Positive
"['mengunjungi', 'floating', 'market', 'lembang', 'weekday', 'sore', 'harga', 'tiket', 'rborang', 'dapet', 'minuman', 'kopicokelatmilo', 'pa', 'weekday', 'ga', 'rame', 'enak', 'jajan', 'foto', 'foto']",Negative
"['tiket', 'masuk', 'k', 'ditukar', 'minuman', 'wahana', 'nyobain', 'rainbow', 'slide', 'seru', 'harga', 'x', 'main', 'k', 'pilihan', 'all', 'day', 'jasa', 'foto', 'gitu', 'milih', 'soft', 'file', 'dicetak', 'harganya', 'k', 'booth']",Positive
"['kesini', 'karna', 'dapet', 'gratisan', 'kereta', 'cepat', 'whoosh', 'lanjutan', 'the', 'great', 'asia', 'africa', 'farmhouse', 'tiket', 'masuk', 'rp', '', 'dituker', 'minuman']",Positive
"['makan', 'rekreasi', 'nyaman', 'lembang', 'bandung', 'subang', 'wajib', 'mampir', 'tiket', 'ditukar', 'minuman', 'wisata', 'floating', 'market', 'menu', 'tenan', 'harga']",Positive
"['pa', 'dateng', 'weekend', 'kalo', 'pagi', 'parkiran', 'rada', 'sepi', 'siang', 'full', 'alhamdulillah', 'parkiran', 'luas', 'sepeda', 'motor', 'tiket', 'masuk', 'rb', 'parkir', 'rb', 'tiket', 'ditukar', 'minuman', 'coklat']",Neutral
"['floating', 'market', 'keren', 'banget', 'tempatnya', 'lingkungan', 'asri', 'bersih', 'banget', 'fasilitas', 'disediakan', 'memadai', 'floating', 'market', 'wahana', 'seruseru', 'banget']",Positive
