Review,Hasil Perbandingan
"['bagus', 'gak', 'terima', 'packing']",Positive
"['terjangkau', 'rate']",Neutral
"['cendol', 'bubur', 'lomie', 'makanan', 'padang', 'deket', 'soes', 'merdeka']",Neutral
['asik'],Neutral
"['lembut', 'banget', 'susunya', 'gurih', 'harga', 'terjangkau']",Positive
"['letaknya', 'susah', 'dicari', 'menyediakan', 'smoking', 'non', 'smoking']",Negative
"['lumayan', 'overall']",Positive
"['bagus']",Positive
"['biasa', 'aja', 'sebenernya', 'harga', 'lumayan', 'pricey', 'wajar', 'karna', 'jl', 're', 'martadinata']",Negative
"['pelayannya', 'ngantuk']",Negative
"['tempatnya', 'bagus', 'terawat']",Positive
"['enak', 'menunya', 'ga', 'sekomplit']",Positive
"['gambar', 'menipu', 'bakso', 'pes', 'gak', 'pes', 'cabe', 'dikit', 'keju', 'dikit', 'banget']",Negative
"['mahal', 'ga', 'sesuai', 'makanannya', 'jebakan', 'betmen', 'makanan', 'bentukan', 'warteg', 'harga', 'udah', 'kaya', 'kfc']",Negative
"['tempatnya', 'nyaman', 'pelayanan', 'ramah', 'menu', 'standard', 'ngopdoel']",Positive
"['lama', 'waw', 'porsinya', 'murah', 'kesini', 'porsinya', 'turun', 'e', 'teh', 'tawar', 'e', 'buahnya', 'e', 'alpukatnya', 'krn', 'malam', 'minggu', 'gila', 'rame', 'menunya', 'duhh', 'kacau']",Negative
"['minumanny', 'ga', 'toilet', 'kaya', 'terminal', 'musik', 'ga']",Negative
"['martabak', 'khas', 'terkenal', 'bandung', 'beli', 'kota', 'ya', 'siapsiap', 'aja', 'kalo', 'ngantri', 'martabaknya', 'uenak']",Positive
"['kecewa', 'beli', 'drivethru', 'fresh', 'hr', 'msk', 'kulkas', 'ud', 'lendir', 'jamuran', 'kalo', 'beli', 'dlm', 'aman', 'sampe', 'hr', 'msh', 'bagus', 'fresh']",Negative
"['makanan', 'minumannya', 'enak', 'tempatnya', 'kotor', 'penuh', 'asap', 'rokok', 'meja', 'penuh', 'coretcoretan']",Negative
"['sukak', 'makan', 'enak', 'murmer', 'cepet', 'penyajiannya']",Positive
"['menunya', 'baksonya', 'varian', 'enak', 'harga', 'bersahabat', 'promo', 'ecommerce', 'ecommerce', 'menyediakan', 'pilihan', 'sambal', 'menjual', 'suasana', 'ga', 'ac', 'kali', 'membawa', 'suasana', 'angin', 'sepoy']",Positive
"['driver', 'ojol', 'tetep', 'bayar', 'pesanan', 'saldo', 'gopay', 'drivertp', 'apapelayanan', 'burukfood', 'knowledge', 'dri', 'baikkesanggupan', 'bober', 'menyuguhkan', 'driver', 'ojol', 'teh', 'kotak', 'kali', 'ordertp', 'apaketika']",Neutral
"['mw', 'makan', 'dine', 'in', 'hr', 'antri', 'ga', 'pake', 'catet', 'nama', 'aga', 'aneh', 'hr', 'berdiri', 'dpn', 'pintu', 'ga', 'disediakan', 'tmpt', 'duduk', 'panas', 'ud', 'gt', 'ga', 'ad', 'parkir', 'mobil', 'dlm', 'gang', 'padat', 'lalang', 'mbl', 'antri', 'pdhl']",Negative
"['favorit', 'menurun', 'kuliah', 'satenya', 'tergolong', 'mahal', 'porsi', 'harga', 'k', 'daging', 'domba', 'gurih', 'lemaknya', 'manisz', 'abieez', 'jago', 'banget', 'pilih', 'daging', 'domba']",Positive
"['soes', 'konsisten', 'enaknya']",Positive
"['enak', 'cuma', 'harganya', 'mahal']",Neutral
"['memuaskan']",Positive
"['staf', 'hilang', 'order', 'staf', 'tunggu', 'istirahat', 'bayar', 'kasir', 'hilang', 'ya']",Negative
"['sambelnya', 'nampol', 'ayam', 'goreng', 'madu', 'salah', 'menu', 'jagoan', 'and', 'signature', 'doi', 'nasi', 'ungu']",Positive
"['makanan', 'macamnya', 'harga', 'bersahabat', 'dompet']",Positive
"['nyobain', 'sate', 'maranggi', 'enak', 'lemaknya', 'harganya', 'rb', 'porsi', 'makanan', 'aja', 'ya', 'menunya', 'kali', 'kesini', 'dibandingkan', 'menurun', 'ikannya', 'banget']",Positive
"['kunjungan', 'industri', 'disambut', 'petugas', 'membantu', 'prose', 'pembuatan', 'dikonsumsi']",Positive
"['oke', 'halal', 'mui', 'jempol']",Positive
"['laper', 'malam', 'ga', 'makan', 'jorok', 'mantap']",Negative
"['oke']",Positive
"['mantap', 'mantul']",Positive
"['mantapharga', 'pa', 'kantong']",Positive
"['lumayan', 'nunggunya', 'worth', 'itsate', 'ayamnya', 'full', 'daging', 'sate', 'kambing', 'empukkk', 'suka', 'kecapnyagak', 'aneh']",Positive
"['mantab', 'banget']",Positive
"['pelayanan', 'jelek', 'iya', 'nunggu', 'jam', 'makanan', 'nyampe', 'nyampe', 'sampe', 'minuman', 'cencel', 'gegara', 'udah', 'beres', 'makan', 'nyampe', 'nunggu', 'jam', 'minuman', 'nyampe', 'kali', 'udah', 'manggil', 'pelayannya', 'cuman', 'bilang', 'iya', 'iya', 'iya', 'doang']",Negative
"['kedai', 'boedjangan', 'membedakan', 'tempatnya', 'ruang', 'terbuka', 'udara', 'panas', 'pengap', 'smoking', 'area']",Negative
"['mohon', 'perbaiki', 'jam', 'operasional', 'goggle', 'jam', 'aslinya', 'karna', 'dtg', 'jam', 'pagi', 'pelayannya', 'belom', 'bumbu', 'mateng']",Negative
"['lelet', 'males']",Negative
"['menyenangkan', 'sayuran', 'seger', 'seger', 'murah', 'murah']",Positive
"['order', 'dapet', 'titipan', 'teman', 'oleh', 'kotak', 'ternyt', 'mak', 'box', 'wow', 'limited', 'editionknp', 'mak', 'image', 'limited', 'edition', 'knp', 'ga', 'bata', 'perhari', 'brp', 'buah', 'kotak', 'mak', 'perhari']",Neutral
"['enak', 'even', 'ngantri']",Positive
"['menu', 'pariatif', 'minuman', 'segi', 'place', 'enak']",Positive
"['lokasi']",Neutral
"['baksonya', 'enak', 'porsinya', 'mengenyangkan', 'makannya', 'harga', 'rb', 'porsi']",Positive
"['tempatnya', 'perumahan', 'gitu', 'dan', 'yaa', 'emang', 'seenak', 'kue', 'balok', 'brownisnyaa']",Positive
"['lumayan', 'wlo', 'box']",Positive
"['basonya', 'enak', 'lembut', 'kenyal', 'kuahnya', 'pes', 'bangeeutttt']",Positive
"['tempatnya', 'rame', 'wajarlah', 'makanannya', 'enak', 'gak', 'bikin', 'kecewa', 'harganya', 'relatif', 'diatas', 'standar', 'ya', 'terpuaskan', 'mantul']",Positive
"['sajiannya', 'lengkap', 'pelayanan', 'ramah', 'rekomendasi', 'kumpul']",Positive
"['enak', 'pol']",Positive
"['commentnya', 'jelek', 'ya', 'pelayanan', 'pdhal', 'keliatannya', 'dr', 'vlogger', 'jkt', 'keliatan', 'om', 'ramah']",Negative
"['kue', 'wenak', 'recommended', 'banget', 'khas', 'bandung']",Positive
"['enak']",Positive
"['update', 'terkenal', 'pelayanannya', 'so', 'overrated']",Negative
"['enak', 'harganya', 'gak', 'murah']",Positive
"['jatuh', 'cinta', 'sm', 'kopi', 'baso', 'goreng', 'syomay']",Positive
"['diperbolehkan', 'membeli', 'pcsorang', 'merekomendasikan', 'pemilik', 'orang', 'membeli', 'pc', 'pc']",Positive
"['makan', 'sate', 'kambing', 'sate', 'ayam', 'daging', 'satenya', 'lumayanlah', 'dagingnya', 'empuk', 'tempatnya', 'sempit', 'harga', 'satenya', 'standard', 'menengah']",Positive
"['enak', 'bener', 'enak', 'terutama', 'tumis', 'buncisnya', 'harga', 'tergolong', 'mahal', 'dr', 'menutapi', 'mengobati', 'harganya']",Positive
"['mengecawakan']",Negative
"['bagus']",Positive
"['enak', 'terkenal', 'bandung']",Positive
"['pujasera', 'bandung', 'top']",Neutral
"['murah', 'jalan', 'riau', 'rame', 'enak', 'makanannya']",Positive
"['harganya', 'mahal', 'porsi', 'kaya', 'nasi', 'kucing', 'dikit']",Negative
"['suasana', 'enak', 'mlm', 'minggu', 'live', 'music', 'tapi', 'sayang', 'menu', 'makananya', 'desertnya']",Positive
"['ditengah', 'kota', 'sukabumi']",Positive
"['have', 'confrence', 'room', 'with', 'audio', 'vidio', 'system']",Neutral
"['mantul', 'perumahan']",Positive
"['kalo', 'antri', 'bakar', 'sate', 'terkesan', 'burukejer', 'setoran', 'mungkinayam', 'rb', 'tusukkambingsapi', 'ribu', 'tusukporsi', 'gedemakan', 'pake', 'hot', 'plate', 'enak', 'lemakberasa', 'terbakarsaran', 'doank']",Positive
"['makan', 'jaga', 'prose', 'pelayanan']",Positive
"['sate', 'gule', 'enak', 'ga', 'percaya', 'sj', 'kesini', 'kompentar', 'kalau', 'ga', 'dicoba', 'komen', 'ya']",Positive
"['good', 'taste', 'good', 'price']",Positive
"['kadang', 'parkir', 'aja', 'susah']",Negative
"['upgrade', 'version', 'of', 'bakso', 'isi', 'kejurawit', 'taste', 'quite', 'good', 'and', 'tasty']",Positive
"['lokasi', 'strategis', 'sebrang', 'bec', 'menyajikan', 'cemilan', 'khas', 'soes', 'merdeka']",Positive
"['luas', 'harga', 'terjangkau', 'live', 'musiknya', 'y', 'kalo', 'malam', 'soale', 'pa', 'kesana', 'sore']",Positive
"['tempatnya', 'nyaman', 'cocok', 'anakharga', 'makanan', 'sebanding']",Positive
"['bersih', 'harganya', 'murah']",Positive
"['kesini', 'karna', 'temanin', 'istri', 'wisata', 'kuliner', 'deket', 'hotel', 'menginap']",Neutral
"['pilihan', 'menu', 'harga', 'terjangkau', 'parkir', 'luas']",Positive
"['salah', 'diandalkan', 'nongkrong', 'kemaleman', 'bandung']",Negative
"['pelayanan', 'bagus', 'bersih', 'cuman', 'baksonya', 'standar', 'istimewa', 'harganya', 'mahal']",Negative
"['antri', 'ok', 'makananya']",Negative
"['mie', 'kuah', 'tempatnya', 'bersih', 'nyaman']",Positive
"['lumayan', 'enak', 'makan', 'nunggu', 'pulang', 'make', 'travel', 'betawi']",Positive
"['makanamya', 'enak', 'tinggal', 'tambahin', 'makanan', 'pes', 'ajah']",Positive
