summary,text
Penyetan jawa timur,"Leko merupakan resto penyetan khas jawa timur. Kami memesan empal penyet Dan nasi goreng bakso.Empal penyetnya empuk, bumbunya cukup terasa, sambalnya enak dan mantap sekali, hanya sayang dikasih lalapannya dikit. Untuk nasi goreng baksonya rasanya so so aja, nasi gorengnya agak berminyak dan rasanya manis. Potongan baksonya cukup banyak. Warung leko yang cabang grand Indonesia ini cukup nyaman dengan interior ya khas Indonesia"
Ayam Bakarrrr,Bukber sama temen2 disini aku pesen yg Ayam Bakar Penyet. Bumbu ayam nya berasa bgt manis trus juga daging nya gak keras. Walaupun keliatan overcook tapi ngga ada rasa pait. Buat sambelnya aku suka karena gak begitu pedes yg cetar pokonya bikin makan jadi lahap deh. Suasana nya cukup nyaman buat ngumpul/makan bareng
Nasi Goreng Teri Medan,"Menu yang saya pesan Nasi Goreng Teri Medan @Rp40.000.Rasanya sendiri lumayan enak, ga terlalu asin, gurihnya pas. Agak terlalu berminyak dikit tapi masih ok.Servicenya sendiri ramah, tempatnya juga cukup nyaman."
Juicy,Kedapatan mengunjungi outlet warung leko yang menyediakan aneka hidangan penyetan khas jawa timur .Memesan menu andalan mereka yakni iga penyet serta sate jamur dengan tingkat level sedang untuk pedasnya .Secara rasa untuk iga sapinya ini empuk dan gurih ditambah dengan sambal cobeknya yang ga begitu pedas sesuai request .Untuk sate jamurnya didominasi oleh rasa manis serta tekstur yang chewy dari jamurnya .#iphonesia #bestoftheday #popularphoto #tagsforlikes #instacool #instasize #baby #fun #hot #cool #red #vsco #igers #photography #follow #fransi_96jakartapusat
Kenyang,"Makanan indonesia dengan segala macem sambel tinggal pilih aja mau yg mana.Liat menunya lumayan banyak juga yg daging sapi. Tapi akhirnya ga ada order sapi wkwk.Menu yg diorder :- Nasi Goreng Teri Medan (38k++) => puas kerupuknya banyak mengelilingi piring. Porsi juga nampol. Tapi dominan manis yak nasgornya. Walopun terinya ada jadi rada ketutup kecapnya.- Sate Jamur Penyet (37k++) => pas nyampe meja kirain sate usus abis mirip usus saya liatnya wkwk. Modenya lumayan cakep dah. Sambalnya lumayan oke. Nih sate juga rada manis ntah kenapa manis2 semua wkwk.- Lele Bledek (41k++) => ini lele goreng dikasi sambal bledek yaitu sambal sama potongan tomat deh, agak manis juga ya 😂. Lelenya ternyata dikasi 2 ekor. Bisa buat berdua ini porsinya. Lelenya digoreng rada gating enak. Sambal bledek ya dikasi potongan tomat lumayan besar. Rasa sambalnya juga oke tapi tidak terlalu pedas.- Tahu Isi Sambal Korek (32k++) => seporsinya isi 3pc. Ukurannya besar juga. Tahunya garing kulit dalamnya lumayan banyak isiannya. Tapi pas dimakan ada kayak rasa manis cempedak gitu kok yak. Tapi masih oke. Nah dari semua sambalnya paling suka yg sambal korek ini. Pas pedas, gurihnya semua.- Ampela Goreng (14k++) => seporsi isi 4 ap 5 dah. Digoreng biasa aja. Suka aja sih sama ini.Untuk servicenya cepat juga abis order ga lama langsung ready. Suasananya lumayan oke lah."
"Enak, puas bgt pokoknya.","Warung leko mah ud gausa diraguin lagi ya, rata2 masakannya enak semua. Pesen iga dan empal penyetnya. Enak pol. Dagingnya empuk, sambelnya juga maknyus, bisa request tingkat kepedasan. Jamur goreng tepungnya juga jgn lupa pesen, endul. Pelayanan cepat dan ramah, tempatnya jg nyaman."
Iga Penyet Yummy,"Sudah lama ga makan iga penyet jadi pas kebetulan lagi di Grand Indonesia langsung memilih makan di sini.Tempatnya sendiri luas dengan 2 dining area di bagian dalam serta area di luar yang berada di koridor mall. Untuk lebih privat dan ga terganggu sama orang yang lalu lalang mending pilih di bagian dalam saja. Ambiancenya enak kok, ada sentuhan khas Indonesia serta desain rak yang modern full color di dinding.Pesan Iga Penyet mereka plus nasi merah dan satu lagi sekalian mau cobain jadi pesan Nasi Goreng Iga dan Jamur Penyet sebagai side dish. Iga Penyetnya lumayan banyak porsinya, tekstur juga standar, ada bagian yang lembut dan ada bagian yang agak keras berurat tapi overall masih enak dikunyah. Yah itu sensasi makan iga penyet kan yah hehee... Untuk sambalnya pilih yang normal aja takut ga kuat kalo yang pedas banget. Enak sih dimakan barengan ama nasi, iga lalu kemangi, kol, dan ketimun sebagai lalapan.Nasi Goreng Penyet juga enak. Ada nasi goreng, daging iga penyetnya yang tanpa tulang, acar, ketimun, tomat, dan kerupuk. Cobain sedikit enak sih gurih agak manis sedikit rasanya. Pas di lidah.Untuk side dish Jamur Penyet juga mantep. Garing empuk renyah gimana gitu bikin nagih. Dimakan pakai nasi enak banget digado juga enak."
Iga Bakarnya the best! 🔥❤️,"Iga Bakarnya the best! 🔥❤️Suka banget, dagingnya super tender & empuk. Trus kulitnya itu bisa agak garing.Cabenya sih nampol banget, biasa aku level 3/4 🤩👌🏻"
Iga penyet,"Iga penyet goreng Dan kuah, dua2nya enak, yang kuah, rasanya gurih, mirip sop buntut, agak pedes dari pada. Daging nya empuk, cuma Ada 3 potong aja. Nah yang goreng lumayan wangi, terasi nya strong banget bau nya.Instagram @Mich.Love.Eat"
Enakkk,"Restoran langganan kalau mau makan Iga Penyet. Lokasinya pas disamping eskalator. Luas, pelayannya banyak, servicenya cepat juga ramah walaupun lagi ramai. Saya order 4 menu:- Nasi Goreng Otot: porsinya cukup kenyang, rasanya enak dgn bumbu yg pas, good!- Iga Penyet: favorit saya nih, ya walaupun porsi iganya ga banyak, dagingnya cukup tebal dan empuk, sambelnya bisa request pedas atau ga pedas.- Es Kacang Ijo: rasanya std aja seperti kacang ijo pada umumnya, manisnya oke.- Es Carica: pertama kali minum ini, nyegerin dan nikmat."
NEW Menu from Ribs Specialist,"Warung Leko, salah satu restoran dari kota Surabaya yang melebarkan sayap ke Jakarta dan saat ini telah memiliki banyak cabang di ibu kota. Restorannya cukup nyaman dengan suasana khas Indonesia.Kali ini ak mencoba beberapa menu baru diantaranya, Rawon Iga (Rp 58k). Menu dari kota Pahlawan ini memberikan rasa yang gurih dan aroma kluwek yang cukup kuat, walaupun tidak seperti yang ada di Surabaya. Daging iga-nya cukup empuk dan cukup mudah dilepaskan dari tulangnya.Salah satu menu baru yang menarik dicoba, terutama buat pecinta Rawon dan rindu makanan kampung halaman."
rasanya ga berubah,"HAPPY LUNCHY!wohooooo makan siang gini terlalu enak makan Conro Bakar Madu! ini paling terfavourite buat gue, bumbu nya berasa banget dan daging nya lembut, rekomen buat orang orang yang susah ngunyah daging kaya gue 😝••📍 Warung Lèko💸 75K⭐️ Enak Banget____________________________________________________#gatakutgenduttt #cebilapermulu #food #foodporn #foodblogger #foodie #foodtravelbloggerrr #foodstagram #blogger #jkt #jktfoodies #jktfoodbang #jktfooddestination #makan #makanan #jajan #jajanan #anakjajan #lapermulu #laper"
Rasanya Masih Seperti Dulu...,"Udah lama banget gak makan disini, padahal dulu hampir tiap minggu makan disini karena favorit nyokap karena lagi dilarang makan daging jadi kali ini order otot penyetnya dan rasanya masih sama gapernah berubah enak, gurih, dan empuk cuma tingkat kepedesannya perlu ditingkatkan lagi deh karena gak pedes sama sekali Tempatnya nyaman dan pelayanannya oke."
Bakso Penyet & Jus Duren,"Mampir kesini karena kepengen yang seger-seger. Mesen Jus Duren, luar biasaaa Durennya mahteh banget! Kental, segar, Duren banget! Dengan harga IDR 28,000 it is super duper pocket friendly! Sambil ngejus jadi pengen ngemil juga, mesen Bakso Penyet dengan Sambal. Bakso Penyet as always enakkk dan Sambal level Sedangnya nampol!"
Es Jeruk Degan favorit banget,"Warung Leko yang di Grand Indonesia ini cukup spacious, dan selalu ramai deh kalau jam makan siang. Kebetulan lagi lewat dan kehausan banget jadi langsung pesen minuman all time fave di sini Es Jeruk degan (23k) - Es jeruk dengan kelapa muda. Gelasnya besar, es jeruknya enak dan manis. Kelapa mudanya banyak dan manis juga. Recommended banget. Penyetan di Warung Leko ini sudah terkenal banget deh enak2. Karena masih kenyang hanya pesen bakso penyet (35k) untuk nyemil2 – baksonya agak asin tapi tetap enak, sambalnya pesen yang sedang, tapi masih ada pedes2 sedikit enak banget. Mestinya enak banget nih kalau makan pake nasi."
Enak juga,"Warung leko di grand indonesia ini lokasinya di atasnya tempat main anak-anak, tempatnya besar, lalu interiornya lucu kaya train station gitu, tempatnya cukup nyaman juga disini. Menu yang ditawarkan serba pedas ya, kebetukan aku dan teman-teman kesini sudah makan, jadi kita hanya minum dan nyemil saja, pilihan minumannya juga cukup menarik loh. Kita pesan beberapa minuman yaitu : - juice duren : juicenya enak, rasa durennya tidak terlalu pekat dan tidak bikin eneg. - es kelapa jeruk : es kelapa jeruknya enak segar banget. - es matcha cincau : perpaduan yang unik, ice matcha lalu ada toping cincau, enak juga- bakso penyet : ini kita beli untuk cemilan, ga terlalu pedas, baksonya juga enak. Overall, ok juga disini tempatnya, minumannya enak, makanannya yang kita coba juga enak, jadi penasaran sama menu lainnya."
Iga Penyet,"Salah satu resto Iga Penyet favorit, kalo lagi kangen makanan indonesia selalu ke sini. Porsinya dan harganya sebanding. Rasanya juga enak"
Masakan penyet2an enak,"Salah satu resto favorit di GI buat makan siang, porsinya pas masakannya enak, tempat duduk sofanya banyak jadi pasti kebagian duduk disofa 
Hari ini pesan cah brokoli + jamur penyet:
Cah brokolinya enak brokoli dan telur dicah 4/5
Jamur penyetnya crunchy dan enak, pesannya pedas tapi selalu ga terlalu pedas 4/5"
Yummy Indonesia food,"Suka banget makanan disini, walaupun masalahnya Indonesian Food tapi rasanya jauh di average lah. Mau tan simple traditional seperti cah kangkung, sampai gang fancy seperti Iga bakar penyet semua ada! My favorite disini itu sayur asemnya yg authentic dan yummy banget dan jamur goreng crispy penyet. Spicy Indonesian food lovers, this is the place for you! 😍"
Tempatnya luas,Disini tempatnya lumayan luas dibandingkan outlet yg lain jd kalau makan bareng keluarga beaar mgkn bisa jadi pilihan yg pas... untuk pilahan menu makanan dan rasa sama seperti outlet leko yang lain
Best Ayam Penyet!,"Saya suka banget Leko tapi kenapa ya di Grand Indonesia servicenya selalu kurang banget. Salah mulu ngasih pesenan. Udah dua kali.Pesennya Enoki Crispy karena emang saya sukanya enoki, dan gasuka sayur. Yang keluar kangkung crispy. Terus pas saya bilang salah, masnya bilang ENOKInya abis. Yaudahlah karena lagi males berdebat jadi saya gamau terima kangkungnya.Kalau untuk makanan sih leko enak semua, nggak ada yang fail. Cuma servicenya aja yang di GI agak kurang."
Porsi Kecil,"Pilihan menunya buat yang gak makan nasi seperti gue sangat terbatas. Menunya disini Indonesia semua dan terkenal dengan sajian iganya.
- Mie Goreng Ikan Asin: ikan asinnya dikit banget dan gak terlalu kerasa. Porsinya kecil juga, ada kerupuk sama potongan timun. Rasanya menurut gue biasa banget
- Terong Penyet: ini sih kayaknya sebiji terong terus digoreng bentuk kipas gitu jadi keliatan banyak, padahal sih kagak. Tingkat kepedasan bisa di-request
- Tahu Sutra: seporsi isi 8 tahu sutra yang digoreng dan di atasnya ditabur daun bawang dan cabai. Rasanya juga biasa banget
- Cah Kangkung: liat foto sih menarik, ternyata porsinya juga sama kecilnya. Buat pecinta sayur macem gue, sangat pas untuk satu orang
- Jamur Enoki: akhirnya nemu satu makanan yang enak! Jamur enoki yang digoreng garing menyerupai telor dadar terus di atasnya ditabur macem remah rengginang gitu dan ada spesial sausnya yang lumayan enak. Suka suka! 
 Pelayanan ramah, makanan cepet keluar, bisa banget buat minta tolong atau tanya ini itu. Tapi disini kurang wifi."
Iga Penyetnya Juara,After a few years u ate again in leko and the taste is still the same.. The food is nice and the price is good! Not much to say about this place.. But if you ever miss their spicy fried ribs just come to Leko..
Sambalnya mantap! Ga ada duanya rasanya :9,Tadi kesini cuman beli nasi merah dan jamur goreng crispy aja utk di take away. Berhub teman saya ada yg diet jd ini adalah salah satu resto di GI yg bs didtgin buat yg membutuhkan nasi merah hihi.
